James Cameron,2710,2,19995
Gore Verbinski,1704,2,285
Sam Mendes,39,2,206647
Christopher Nolan,525,2,49026
Andrew Stanton,7,2,49529
Sam Raimi,7623,2,559
Byron Howard,76595,2,38757
Nathan Greno,121830,2,38757
Joss Whedon,12891,2,99861
David Yates,11343,2,767
Zack Snyder,15217,2,209112
Bryan Singer,9032,2,1452
Marc Forster,12995,2,10764
Gore Verbinski,1704,2,58
Gore Verbinski,1704,2,57201
Zack Snyder,15217,2,49521
Andrew Adamson,5524,2,2454
Joss Whedon,12891,2,24428
Rob Marshall,17633,2,1865
Barry Sonnenfeld,5174,2,41154
Peter Jackson,108,2,122917
Marc Webb,87742,2,1930
Ridley Scott,578,2,20662
Peter Jackson,108,2,57158
Chris Weitz,3288,0,2268
Peter Jackson,108,2,254
James Cameron,2710,2,597
Anthony Russo,19271,2,271110
Joe Russo,19272,2,271110
Peter Berg,36602,2,44833
Colin Trevorrow,930707,2,135397
Sam Mendes,39,2,37724
Sam Raimi,7623,2,558
Shane Black,1108,2,68721
Tim Burton,510,2,12155
Brett Ratner,11091,2,36668
Dan Scanlon,225976,2,62211
Michael Bay,865,2,8373
Michael Bay,865,2,91314
Sam Raimi,7623,2,68728
Marc Webb,87742,2,102382
Joseph Kosinski,86270,2,20526
John Lasseter,7879,2,49013
Brad Lewis,32532,2,49013
Martin Campbell,10702,2,44912
Lee Unkrich,8,2,10193
McG,36425,2,534
James Wan,2127,2,168259
Marc Forster,12995,2,72190
Bryan Singer,9032,2,127585
J.J. Abrams,15344,2,54138
Bryan Singer,9032,2,81005
Baz Luhrmann,6201,2,64682
Mike Newell,10723,2,9543
Guillermo del Toro,10828,2,68726
Michael Bay,865,2,38356
Steven Spielberg,488,2,217
Peter Sohn,21198,2,105864
Brenda Chapman,59803,1,62177
Mark Andrews,126638,2,62177
Steve Purcell,137262,2,62177
Justin Lin,58189,0,188927
Andrew Stanton,7,2,10681
Brett Ratner,11091,2,5174
Roland Emmerich,6046,2,14161
Robert Zemeckis,24,2,17979
Lilly Wachowski,9339,1,76757
Lana Wachowski,9340,1,76757
David Yates,11343,2,258489
Andrew Adamson,5524,2,411
Bryan Singer,9032,2,246655
Christopher Nolan,525,2,155
Pete Docter,12890,2,14160
Conrad Vernon,12080,2,15512
Rob Letterman,65630,0,15512
Jon Favreau,15277,2,1726
